time,last,diff,position,thrust,set,loop,update
1520599542626889,0,1520599542626889,0.0,0.0,0.0,184,false
1520599542627906,0,1520599542627906,0.0,0.0,0.0,185,false
1520599542628924,0,1520599542628924,0.0,0.0,0.0,186,false
1520599542629941,0,1520599542629941,0.0,0.0,0.0,187,false
1520599542630958,0,1520599542630958,0.0,0.0,0.0,188,false
1520599542631975,0,1520599542631975,0.0,0.0,0.0,189,false
1520599542632997,0,1520599542632997,0.0,0.0,0.0,190,false
1520599542634011,0,1520599542634011,0.0,0.0,0.0,191,false
1520599542635028,0,1520599542635028,0.0,0.0,0.0,192,false
1520599542636045,0,1520599542636045,0.0,0.0,0.0,193,false
1520599542637073,0,1520599542637073,0.0,0.0,0.0,194,false
1520599542638089,0,1520599542638089,0.0,0.0,0.0,195,false
1520599542639107,0,1520599542639107,0.0,0.0,0.0,196,false
1520599542640124,0,1520599542640124,0.0,0.0,0.0,197,false
1520599542641141,0,1520599542641141,0.0,0.0,0.0,198,false
1520599542642158,0,1520599542642158,0.0,0.0,10.0,199,false
1520599542643175,0,1520599542643175,0.0,0.0,10.0,200,false
1520599542644193,0,1520599542644193,0.00009346275630610155,100.0,10.0,201,false
1520599542645210,0,1520599542645210,0.00020260963187625154,25.002,10.0,202,false
1520599542646226,0,1520599542646226,0.00032715010772782526,24.88593788838066,10.0,203,false
1520599542647244,0,1520599542647244,0.0004674388910353662,24.867059851851046,10.0,204,false
1520599542648261,0,1520599542648261,0.0006233844447499622,24.848506467593324,10.0,205,false
1520599542649278,0,1520599542649278,0.0007947407352432513,24.829470314570763,10.0,206,false
1520599542650294,0,1520599542650294,0.0009814028914570125,24.810509425340058,10.0,207,false
1520599542651312,0,1520599542651312,0.001183842900901965,24.791817534168057,10.0,208,false
1520599542652330,0,1520599542652330,0.0014018452162414623,24.77321844848534,10.0,209,false
1520599542653346,0,1520599542653346,0.0016350640996658885,24.753989913537534,10.0,210,false
1520599542654365,0,1520599542654365,0.0018841382681708727,24.734991885197505,10.0,211,false
1520599542655381,0,1520599542655381,0.002148181854211822,24.71638796437558,10.0,212,false
1520599542656399,0,1520599542656399,0.0024280656260513766,24.69694598419109,10.0,213,false
