time,clock,sleep,execute,overrun,type
1520599537387422,1000,886,113,0,2
1520599537387437,1000,886,113,0,3
1520599537387438,1000,886,113,0,4
1520599537388343,1000,888,111,0,0
1520599537388429,1000,888,111,0,1
1520599537388439,1000,888,111,0,2
1520599537388454,1000,888,111,0,3
1520599537388455,1000,888,111,0,4
1520599537389358,1000,887,112,0,0
1520599537389444,1000,887,112,0,1
1520599537389455,1000,887,112,0,2
1520599537389469,1000,887,112,0,3
1520599537389470,1000,887,112,0,4
1520599537390374,1000,887,112,0,0
1520599537390459,1000,887,112,0,1
1520599537390470,1000,887,112,0,2
1520599537390485,1000,887,112,0,3
1520599537390485,1000,887,112,0,4
1520599537391389,1000,887,112,0,0
1520599537391475,1000,887,112,0,1
1520599537391486,1000,887,112,0,2
1520599537391501,1000,887,112,0,3
1520599537391502,1000,887,112,0,4
1520599537392406,1000,887,112,0,0
1520599537392492,1000,887,112,0,1
1520599537392502,1000,887,112,0,2
1520599537392517,1000,887,112,0,3
1520599537392518,1000,887,112,0,4
1520599537393420,1000,887,112,0,0
1520599537393507,1000,887,112,0,1
1520599537393517,1000,887,112,0,2
1520599537393532,1000,887,112,0,3
1520599537393533,1000,887,112,0,4
1520599537394436,1000,887,112,0,0
1520599537394522,1000,887,112,0,1
1520599537394533,1000,887,112,0,2
1520599537394548,1000,887,112,0,3
1520599537394549,1000,887,112,0,4
1520599537395452,1000,887,112,0,0
1520599537395537,1000,887,112,0,1
1520599537395548,1000,887,112,0,2
1520599537395562,1000,887,112,0,3
1520599537395563,1000,887,112,0,4
1520599537396468,1000,888,111,0,0
1520599537396553,1000,888,111,0,1
1520599537396564,1000,888,111,0,2
1520599537396579,1000,888,111,0,3
1520599537396580,1000,888,111,0,4
1520599537397483,1000,887,112,0,0
1520599537397568,1000,887,112,0,1
1520599537397579,1000,887,112,0,2
1520599537397594,1000,887,112,0,3
1520599537397595,1000,887,112,0,4
1520599537398498,1000,887,112,0,0
1520599537398584,1000,887,112,0,1
1520599537398594,1000,887,112,0,2
1520599537398609,1000,887,112,0,3
1520599537398610,1000,887,112,0,4
1520599537399514,1000,888,111,0,0
1520599537399600,1000,888,111,0,1
1520599537399610,1000,888,111,0,2
1520599537399625,1000,888,111,0,3
1520599537399626,1000,888,111,0,4
1520599537400530,1000,888,111,0,0
1520599537400616,1000,888,111,0,1
1520599537400627,1000,888,111,0,2
1520599537400642,1000,888,111,0,3
1520599537400642,1000,888,111,0,4
1520599537401545,1000,887,112,0,0
1520599537401631,1000,887,112,0,1
1520599537401642,1000,887,112,0,2
1520599537401657,1000,887,112,0,3
1520599537401658,1000,887,112,0,4
1520599537402561,1000,886,113,0,0
1520599537402647,1000,886,113,0,1
1520599537402658,1000,886,113,0,2
1520599537402672,1000,886,113,0,3
1520599537402673,1000,886,113,0,4
1520599537403577,1000,887,112,0,0
1520599537403663,1000,887,112,0,1
1520599537403674,1000,887,112,0,2
1520599537403689,1000,887,112,0,3
1520599537403689,1000,887,112,0,4
1520599537404593,1000,887,112,0,0
1520599537404679,1000,887,112,0,1
1520599537404690,1000,887,112,0,2
1520599537404705,1000,887,112,0,3
1520599537404705,1000,887,112,0,4
1520599537405608,1000,887,112,0,0
1520599537405695,1000,887,112,0,1
1520599537405705,1000,887,112,0,2
1520599537405720,1000,887,112,0,3
1520599537405721,1000,887,112,0,4
1520599537406625,1000,886,113,0,0
1520599537406710,1000,886,113,0,1
1520599537406733,1000,886,113,0,2
1520599537406748,1000,886,113,0,3
1520599537406749,1000,886,113,0,4
1520599537407641,1000,874,125,0,0
1520599537407727,1000,874,125,0,1
1520599537407738,1000,874,125,0,2
1520599537407753,1000,874,125,0,3
1520599537407754,1000,874,125,0,4
1520599537408657,1000,886,113,0,0
1520599537408743,1000,886,113,0,1
1520599537408754,1000,886,113,0,2
