i,time,sleep,duration,overruns
357,1711893195050998,9989,10,0
358,1711893195061002,9989,10,0
359,1711893195071006,9989,10,0
360,1711893195081010,9989,10,0
361,1711893195091014,9989,10,0
362,1711893195101018,9989,10,0
363,1711893195111021,9989,10,0
364,1711893195121025,9989,10,0
365,1711893195131028,9989,10,0
366,1711893195141032,9989,10,0
367,1711893195151036,9989,10,0
368,1711893195161039,9989,10,0
369,1711893195171043,9989,10,0
370,1711893195181047,9989,10,0
371,1711893195191051,9989,10,0
372,1711893195201055,9989,10,0
373,1711893195211058,9989,10,0
374,1711893195221062,9989,10,0
375,1711893195231066,9989,10,0
376,1711893195241069,9989,10,0
377,1711893195251073,9989,10,0
378,1711893195261076,9989,10,0
379,1711893195271080,9989,10,0
380,1711893195281084,9989,10,0
381,1711893195291088,9989,10,0
382,1711893195301092,9989,10,0
383,1711893195311095,9989,10,0
384,1711893195321099,9989,10,0
385,1711893195331102,9989,10,0
386,1711893195341106,9989,10,0
387,1711893195351110,9989,10,0
388,1711893195361113,9989,10,0
389,1711893195371117,9989,10,0
390,1711893195381121,9989,10,0
391,1711893195391125,9989,10,0
392,1711893195401129,9989,10,0
393,1711893195411132,9989,10,0
394,1711893195421136,9989,10,0
395,1711893195431139,9989,10,0
396,1711893195441143,9989,10,0
397,1711893195451147,9989,10,0
398,1711893195461150,9989,10,0
399,1711893195471154,9989,10,0
400,1711893195481158,9989,10,0
401,1711893195491162,9989,10,0
402,1711893195501166,9989,10,0
403,1711893195511170,9989,10,0
404,1711893195521173,9989,10,0
405,1711893195531177,9989,10,0
406,1711893195541181,9989,10,0
407,1711893195551190,9989,10,0
408,1711893195561194,9985,14,0
409,1711893195571200,9989,10,0
410,1711893195581205,9988,11,0
411,1711893195591209,9989,10,0
412,1711893195601213,9989,10,0
413,1711893195611217,9989,10,0
414,1711893195621221,9989,10,0
415,1711893195631224,9989,10,0
416,1711893195641228,9989,10,0
417,1711893195651232,9989,10,0
418,1711893195661236,9989,10,0
419,1711893195671240,9989,10,0
420,1711893195681245,9989,10,0
421,1711893195691248,9989,10,0
422,1711893195701253,9989,10,0
423,1711893195711256,9989,10,0
424,1711893195721260,9989,10,0
425,1711893195731264,9989,10,0
426,1711893195741268,9989,10,0
427,1711893195751272,9989,10,0
428,1711893195761276,9989,10,0
429,1711893195771280,9989,10,0
430,1711893195781285,9989,10,0
431,1711893195791289,9989,10,0
432,1711893195801293,9989,10,0
433,1711893195811297,9989,10,0
434,1711893195821300,9989,10,0
435,1711893195831304,9989,10,0
436,1711893195841308,9989,10,0
437,1711893195851312,9989,10,0
438,1711893195861315,9989,10,0
439,1711893195871319,9989,10,0
440,1711893195881324,9989,10,0
441,1711893195891328,9989,10,0
442,1711893195901332,9989,10,0
443,1711893195911336,9989,10,0
444,1711893195921339,9989,10,0
445,1711893195931343,9989,10,0
446,1711893195941347,9989,10,0
447,1711893195951351,9989,10,0
448,1711893195961355,9989,10,0
449,1711893195971358,9989,10,0
450,1711893195981363,9989,10,0
451,1711893195991367,9990,9,0
452,1711893196001371,9989,10,0
453,1711893196011375,9989,10,0
454,1711893196021379,9989,10,0
455,1711893196031382,9989,10,0
456,1711893196041386,9989,10,0
457,1711893196051390,9989,10,0
458,1711893196061394,9989,10,0
459,1711893196071397,9989,10,0
460,1711893196081402,9989,10,0
461,1711893196091405,9990,9,0
462,1711893196101409,9989,10,0
463,1711893196111413,9989,10,0
464,1711893196121416,9989,10,0
465,1711893196131420,9989,10,0
466,1711893196141423,9989,10,0
467,1711893196151427,9989,10,0
468,1711893196161430,9989,10,0
469,1711893196171434,9989,10,0
470,1711893196181439,9990,9,0
471,1711893196191442,9989,10,0
472,1711893196201446,9989,10,0
473,1711893196211450,9989,10,0
474,1711893196221453,9989,10,0
475,1711893196231457,9989,10,0
476,1711893196241461,9989,10,0
477,1711893196251464,9989,10,0
478,1711893196261468,9989,10,0
479,1711893196271471,9989,10,0
480,1711893196281476,9989,10,0
481,1711893196291479,9989,10,0
482,1711893196301483,9989,10,0
483,1711893196311486,9989,10,0
484,1711893196321490,9989,10,0
485,1711893196331493,9989,10,0
486,1711893196341497,9989,10,0
487,1711893196351500,9989,10,0
488,1711893196361504,9989,10,0
489,1711893196371507,9989,10,0
490,1711893196381512,9989,10,0
491,1711893196391516,9990,9,0
492,1711893196401519,9989,10,0
493,1711893196411523,9989,10,0
494,1711893196421526,9989,10,0
495,1711893196431530,9989,10,0
496,1711893196441533,9989,10,0
497,1711893196451537,9989,10,0
498,1711893196461540,9989,10,0
499,1711893196471544,9989,10,0
500,1711893196481549,9989,10,0
501,1711893196491552,9989,10,0
502,1711893196501556,9989,10,0
503,1711893196511559,9989,10,0
504,1711893196521563,9989,10,0
505,1711893196531566,9989,10,0
506,1711893196541570,9990,10,0
507,1711893196551574,9989,10,0
508,1711893196561577,9989,10,0
509,1711893196571581,9989,10,0
510,1711893196581586,9989,10,0
511,1711893196591590,9990,9,0
512,1711893196601593,9989,10,0
513,1711893196611597,9980,19,0
514,1711893196621601,9989,10,0
515,1711893196631604,9989,10,0
516,1711893196641608,9989,10,0
517,1711893196651611,9989,10,0
518,1711893196661615,9989,10,0
519,1711893196671618,9989,10,0
520,1711893196681623,9989,10,0
521,1711893196691627,9989,10,0
522,1711893196701630,9989,10,0
523,1711893196711634,9989,10,0
524,1711893196721638,9989,10,0
525,1711893196731642,9989,10,0
526,1711893196741645,9989,10,0
527,1711893196751649,9989,10,0
528,1711893196761652,9989,10,0
529,1711893196771656,9989,10,0
530,1711893196781660,9989,10,0
531,1711893196791664,9989,10,0
532,1711893196801668,9989,10,0
533,1711893196811671,9989,10,0
534,1711893196821675,9989,10,0
535,1711893196831678,9989,10,0
536,1711893196841682,9989,10,0
537,1711893196851685,9989,10,0
538,1711893196861689,9989,10,0
539,1711893196871692,9989,10,0
540,1711893196881697,9989,10,0
541,1711893196891701,9989,10,0
542,1711893196901704,9989,10,0
543,1711893196911708,9989,10,0
544,1711893196921711,9989,10,0
545,1711893196931715,9989,10,0
546,1711893196941719,9989,10,0
547,1711893196951722,9989,10,0
548,1711893196961726,9989,10,0
549,1711893196971729,9989,10,0
550,1711893196981734,9989,10,0
551,1711893196991738,9989,10,0
552,1711893197001741,9989,10,0
553,1711893197011745,9989,10,0
