index,time
7676,1712169386488556
7677,1712169386489560
7678,1712169386490563
7679,1712169386491569
7680,1712169386492570
7681,1712169386493573
7682,1712169386494577
7683,1712169386495580
7684,1712169386496583
7685,1712169386497586
7686,1712169386498590
7687,1712169386499592
7688,1712169386500595
7689,1712169386501599
7690,1712169386502602
7691,1712169386503605
7692,1712169386504608
7693,1712169386505612
7694,1712169386506615
7695,1712169386507618
7696,1712169386508621
7697,1712169386509624
7698,1712169386510628
7699,1712169386511631
7700,1712169386512635
7701,1712169386513639
7702,1712169386514643
7703,1712169386515645
7704,1712169386516649
7705,1712169386517652
7706,1712169386518655
7707,1712169386519658
7708,1712169386520661
7709,1712169386521664
7710,1712169386522668
7711,1712169386523671
7712,1712169386524674
7713,1712169386525677
7714,1712169386526681
7715,1712169386527684
7716,1712169386528687
7717,1712169386529690
7718,1712169386530694
7719,1712169386531697
7720,1712169386532700
7721,1712169386533703
7722,1712169386534707
7723,1712169386535710
7724,1712169386536713
7725,1712169386537716
7726,1712169386538720
7727,1712169386539723
7728,1712169386540726
7729,1712169386541729
7730,1712169386542732
7731,1712169386543735
7732,1712169386544738
7733,1712169386545741
7734,1712169386546745
7735,1712169386547748
7736,1712169386548751
7737,1712169386549754
7738,1712169386550758
7739,1712169386551761
7740,1712169386552764
7741,1712169386553767
7742,1712169386554771
7743,1712169386555774
7744,1712169386556777
7745,1712169386557780
7746,1712169386558784
7747,1712169386559787
7748,1712169386560790
7749,1712169386561793
7750,1712169386562797
7751,1712169386563800
7752,1712169386564803
7753,1712169386565806
7754,1712169386566810
7755,1712169386567812
7756,1712169386568816
7757,1712169386569819
7758,1712169386570822
7759,1712169386571825
7760,1712169386572828
7761,1712169386573831
7762,1712169386574835
7763,1712169386575838
7764,1712169386576841
7765,1712169386577844
7766,1712169386578848
7767,1712169386579851
7768,1712169386580854
7769,1712169386581857
7770,1712169386582861
7771,1712169386583864
7772,1712169386584867
7773,1712169386585870
7774,1712169386586874
7775,1712169386587877
7776,1712169386588880
7777,1712169386589883
7778,1712169386590887
7779,1712169386591890
7780,1712169386592893
7781,1712169386593896
7782,1712169386594900
7783,1712169386595903
7784,1712169386596906
7785,1712169386597909
7786,1712169386598912
7787,1712169386599915
7788,1712169386600919
7789,1712169386601922
7790,1712169386602925
7791,1712169386603928
7792,1712169386604931
7793,1712169386605934
7794,1712169386606938
7795,1712169386607941
7796,1712169386608944
7797,1712169386609947
7798,1712169386610951
7799,1712169386611954
7800,1712169386612958
7801,1712169386613961
7802,1712169386614965
7803,1712169386615968
7804,1712169386616971
7805,1712169386617974
7806,1712169386618978
7807,1712169386619981
7808,1712169386620983
7809,1712169386621987
7810,1712169386622991
7811,1712169386623994
7812,1712169386624997
7813,1712169386626000
7814,1712169386627004
7815,1712169386628007
7816,1712169386629010
7817,1712169386630013
7818,1712169386631016
7819,1712169386632019
